season,station_number,valid_15z_date,lead_day,MinT,abs_err
Winter 2015,66062,2015-06-01,1,10.4,0.3000000000000007
Winter 2015,66062,2015-06-02,1,6.2,0.10000000000000053
Winter 2015,66062,2015-06-03,1,7.7,1.6000000000000005
Winter 2015,66062,2015-06-04,1,8.2,0.7999999999999989
Winter 2015,66062,2015-06-05,1,9.5,0.5
Winter 2015,66062,2015-06-06,1,10.6,0.20000000000000107
Winter 2015,66062,2015-06-07,1,10.6,1.299999999999999
Winter 2015,66062,2015-06-08,1,11.9,1.6999999999999993
Winter 2015,66062,2015-06-09,1,12.5,1.0999999999999996
Winter 2015,66062,2015-06-10,1,11.9,0.20000000000000107
Winter 2015,66062,2015-06-11,1,10.8,1.0999999999999996
Winter 2015,66062,2015-06-12,1,11.2,1.4000000000000004
Winter 2015,66062,2015-06-13,1,11.7,1.4000000000000004
Winter 2015,66062,2015-06-14,1,9.9,0.40000000000000036
Winter 2015,66062,2015-06-15,1,11.6,0.6999999999999993
Winter 2015,66062,2015-06-16,1,13.6,0.5
Winter 2015,66062,2015-06-17,1,13.1,1.5999999999999996
Winter 2015,66062,2015-06-18,1,11.8,0.40000000000000036
Winter 2015,66062,2015-06-19,1,11.8,2.200000000000001
Winter 2015,66062,2015-06-20,1,8.7,0.3999999999999986
Winter 2015,66062,2015-06-21,1,9.0,0.5
Winter 2015,66062,2015-06-22,1,8.2,0.1999999999999993
Winter 2015,66062,2015-06-23,1,8.7,0.6999999999999993
Winter 2015,66062,2015-06-24,1,10.9,0.5
Winter 2015,66062,2015-06-25,1,11.1,1.5999999999999996
Winter 2015,66062,2015-06-26,1,11.4,1.3000000000000007
Winter 2015,66062,2015-06-27,1,8.8,0.5
Winter 2015,66062,2015-06-28,1,8.1,0.6999999999999993
Winter 2015,66062,2015-06-29,1,8.6,0.8000000000000007
Winter 2015,66062,2015-06-30,1,8.9,0.09999999999999964
Winter 2015,66062,2015-07-01,1,9.6,1.5999999999999996
Winter 2015,66062,2015-07-02,1,5.9,1.0999999999999996
Winter 2015,66062,2015-07-03,1,6.8,0.5999999999999996
Winter 2015,66062,2015-07-04,1,5.0,0.7999999999999998
Winter 2015,66062,2015-07-05,1,5.2,0.7999999999999998
Winter 2015,66062,2015-07-06,1,5.5,0.5
Winter 2015,66062,2015-07-07,1,6.9,0.8999999999999995
Winter 2015,66062,2015-07-08,1,9.3,1.4000000000000004
Winter 2015,66062,2015-07-09,1,8.2,1.5999999999999996
Winter 2015,66062,2015-07-10,1,7.8,0.5
Winter 2015,66062,2015-07-11,1,9.5,
Winter 2015,66062,2015-07-12,1,7.7,0.8999999999999995
Winter 2015,66062,2015-07-13,1,7.3,0.7999999999999998
Winter 2015,66062,2015-07-14,1,8.2,0.9000000000000004
Winter 2015,66062,2015-07-15,1,6.4,0.20000000000000018
Winter 2015,66062,2015-07-16,1,8.0,0.3000000000000007
Winter 2015,66062,2015-07-17,1,8.2,1.9999999999999991
Winter 2015,66062,2015-07-18,1,8.0,0.40000000000000036
Winter 2015,66062,2015-07-19,1,8.2,0.39999999999999947
Winter 2015,66062,2015-07-20,1,8.6,0.7999999999999998
Winter 2015,66062,2015-07-21,1,8.5,0.3000000000000007
Winter 2015,66062,2015-07-22,1,9.0,2.0999999999999996
Winter 2015,66062,2015-07-23,1,9.9,1.299999999999999
Winter 2015,66062,2015-07-24,1,9.1,2.5
Winter 2015,66062,2015-07-25,1,10.4,0.40000000000000036
Winter 2015,66062,2015-07-26,1,10.1,0.9000000000000004
Winter 2015,66062,2015-07-27,1,6.5,0.7999999999999998
Winter 2015,66062,2015-07-28,1,,
Winter 2015,66062,2015-07-29,1,7.6,0.5
Winter 2015,66062,2015-07-30,1,8.3,0.10000000000000142
Winter 2015,66062,2015-07-31,1,9.6,2.5
Winter 2015,66062,2015-08-01,1,11.3,1.9000000000000004
Winter 2015,66062,2015-08-02,1,11.7,4.0
Winter 2015,66062,2015-08-03,1,9.4,1.0
Winter 2015,66062,2015-08-04,1,6.8,1.5000000000000009
Winter 2015,66062,2015-08-05,1,4.9,0.09999999999999964
Winter 2015,66062,2015-08-06,1,6.7,0.09999999999999964
Winter 2015,66062,2015-08-07,1,6.9,0.20000000000000018
Winter 2015,66062,2015-08-08,1,8.7,0.7999999999999989
Winter 2015,66062,2015-08-09,1,7.8,1.5999999999999996
Winter 2015,66062,2015-08-10,1,9.1,0.5
Winter 2015,66062,2015-08-11,1,9.7,0.10000000000000142
Winter 2015,66062,2015-08-12,1,8.5,0.09999999999999964
Winter 2015,66062,2015-08-13,1,8.0,1.4000000000000004
Winter 2015,66062,2015-08-14,1,7.8,0.10000000000000053
Winter 2015,66062,2015-08-15,1,8.3,0.10000000000000142
Winter 2015,66062,2015-08-16,1,9.4,1.0999999999999996
Winter 2015,66062,2015-08-17,1,8.9,0.40000000000000036
Winter 2015,66062,2015-08-18,1,8.4,2.5
Winter 2015,66062,2015-08-19,1,7.8,1.2000000000000002
Winter 2015,66062,2015-08-20,1,9.5,1.3000000000000007
Winter 2015,66062,2015-08-21,1,10.5,1.0999999999999996
Winter 2015,66062,2015-08-22,1,13.3,2.3999999999999986
Winter 2015,66062,2015-08-23,1,14.9,0.5
Winter 2015,66062,2015-08-24,1,14.5,0.5999999999999996
Winter 2015,66062,2015-08-25,1,14.0,1.5
Winter 2015,66062,2015-08-26,1,12.2,0.10000000000000142
Winter 2015,66062,2015-08-27,1,11.4,0.1999999999999993
Winter 2015,66062,2015-08-28,1,10.2,0.40000000000000036
Winter 2015,66062,2015-08-29,1,9.6,0.5999999999999996
Winter 2015,66062,2015-08-30,1,8.0,0.3000000000000007
Winter 2015,66062,2015-08-31,1,9.7,0.09999999999999964
Winter 2015,23090,2015-06-01,1,6.4,1.5
Winter 2015,23090,2015-06-02,1,4.2,
Winter 2015,23090,2015-06-03,1,4.9,0.6999999999999993
Winter 2015,23090,2015-06-04,1,9.4,0.0
Winter 2015,23090,2015-06-05,1,9.5,2.5
Winter 2015,23090,2015-06-06,1,7.4,1.4000000000000004
Winter 2015,23090,2015-06-07,1,9.9,1.4000000000000004
Winter 2015,23090,2015-06-08,1,10.3,0.3999999999999986
Winter 2015,23090,2015-06-09,1,10.5,0.5
Winter 2015,23090,2015-06-10,1,6.5,2.1999999999999993
Winter 2015,23090,2015-06-11,1,3.2,1.2000000000000002
Winter 2015,23090,2015-06-12,1,5.6,1.3999999999999995
Winter 2015,23090,2015-06-13,1,9.0,1.3000000000000007
Winter 2015,23090,2015-06-14,1,11.1,1.8000000000000007
Winter 2015,23090,2015-06-15,1,10.7,2.5
Winter 2015,23090,2015-06-16,1,9.9,1.1999999999999993
Winter 2015,23090,2015-06-17,1,9.8,0.10000000000000142
Winter 2015,23090,2015-06-18,1,9.0,2.1999999999999993
Winter 2015,23090,2015-06-19,1,8.3,3.000000000000001
Winter 2015,23090,2015-06-20,1,4.4,0.8999999999999995
Winter 2015,23090,2015-06-21,1,5.3,1.5
Winter 2015,23090,2015-06-22,1,7.4,2.6999999999999993
Winter 2015,23090,2015-06-23,1,9.6,1.5999999999999996
Winter 2015,23090,2015-06-24,1,9.3,0.20000000000000107
Winter 2015,23090,2015-06-25,1,8.7,0.1999999999999993
Winter 2015,23090,2015-06-26,1,7.4,3.6999999999999993
Winter 2015,23090,2015-06-27,1,5.3,1.5
Winter 2015,23090,2015-06-28,1,5.9,0.5
Winter 2015,23090,2015-06-29,1,5.4,2.4000000000000004
Winter 2015,23090,2015-06-30,1,3.4,5.6
Winter 2015,23090,2015-07-01,1,4.6,0.10000000000000053
Winter 2015,23090,2015-07-02,1,8.3,1.1999999999999993
Winter 2015,23090,2015-07-03,1,,
Winter 2015,23090,2015-07-04,1,6.9,1.4000000000000004
Winter 2015,23090,2015-07-05,1,7.0,2.0999999999999996
Winter 2015,23090,2015-07-06,1,9.4,0.1999999999999993
Winter 2015,23090,2015-07-07,1,8.8,2.5
Winter 2015,23090,2015-07-08,1,6.3,0.6000000000000005
Winter 2015,23090,2015-07-09,1,7.6,4.6
Winter 2015,23090,2015-07-10,1,8.7,1.700000000000001
Winter 2015,23090,2015-07-11,1,6.1,0.1999999999999993
Winter 2015,23090,2015-07-12,1,6.9,0.39999999999999947
Winter 2015,23090,2015-07-13,1,7.9,0.7999999999999989
Winter 2015,23090,2015-07-14,1,8.2,1.3000000000000007
Winter 2015,23090,2015-07-15,1,6.3,0.8999999999999995
Winter 2015,23090,2015-07-16,1,5.7,1.2000000000000002
Winter 2015,23090,2015-07-17,1,5.6,0.10000000000000053
Winter 2015,23090,2015-07-18,1,5.9,0.3000000000000007
Winter 2015,23090,2015-07-19,1,2.7,0.5
Winter 2015,23090,2015-07-20,1,2.0,0.19999999999999996
Winter 2015,23090,2015-07-21,1,6.1,1.7000000000000002
Winter 2015,23090,2015-07-22,1,8.2,0.5
Winter 2015,23090,2015-07-23,1,5.7,2.4000000000000004
Winter 2015,23090,2015-07-24,1,9.1,0.8000000000000007
Winter 2015,23090,2015-07-25,1,8.6,0.7000000000000011
Winter 2015,23090,2015-07-26,1,7.8,0.0
Winter 2015,23090,2015-07-27,1,4.6,1.4999999999999996
Winter 2015,23090,2015-07-28,1,4.3,2.9000000000000004
Winter 2015,23090,2015-07-29,1,5.2,1.5999999999999996
Winter 2015,23090,2015-07-30,1,8.0,1.5
Winter 2015,23090,2015-07-31,1,3.5,0.20000000000000018
Winter 2015,23090,2015-08-01,1,9.1,1.5999999999999996
Winter 2015,23090,2015-08-02,1,6.1,2.0
