season,station_number,valid_15z_date,MinT
Winter 2015,66062,2015-06-01,10.1
Winter 2015,23090,2015-06-01,7.9
Winter 2015,86338,2015-06-01,5.2
Winter 2015,14015,2015-06-01,24.0
Winter 2015,70351,2015-06-01,
Winter 2015,40913,2015-06-01,18.2
Winter 2015,94029,2015-06-01,3.0
Winter 2015,9225,2015-06-01,6.4
Winter 2015,66062,2015-06-02,6.1
Winter 2015,23090,2015-06-02,
Winter 2015,86338,2015-06-02,7.1
Winter 2015,14015,2015-06-02,25.1
Winter 2015,70351,2015-06-02,-7.0
Winter 2015,40913,2015-06-02,9.0
Winter 2015,94029,2015-06-02,5.3
Winter 2015,9225,2015-06-02,12.1
Winter 2015,66062,2015-06-03,6.1
Winter 2015,23090,2015-06-03,5.6
Winter 2015,86338,2015-06-03,8.1
Winter 2015,14015,2015-06-03,23.2
Winter 2015,70351,2015-06-03,-5.1
Winter 2015,40913,2015-06-03,7.0
Winter 2015,94029,2015-06-03,3.2
Winter 2015,9225,2015-06-03,15.8
Winter 2015,66062,2015-06-04,7.4
Winter 2015,23090,2015-06-04,9.4
Winter 2015,86338,2015-06-04,4.4
Winter 2015,14015,2015-06-04,22.2
Winter 2015,70351,2015-06-04,
Winter 2015,40913,2015-06-04,7.4
Winter 2015,94029,2015-06-04,1.1
Winter 2015,9225,2015-06-04,12.6
Winter 2015,66062,2015-06-05,9.0
Winter 2015,23090,2015-06-05,12.0
Winter 2015,86338,2015-06-05,7.0
Winter 2015,14015,2015-06-05,20.8
Winter 2015,70351,2015-06-05,3.3
Winter 2015,40913,2015-06-05,7.0
Winter 2015,94029,2015-06-05,1.3
Winter 2015,9225,2015-06-05,9.2
Winter 2015,66062,2015-06-06,10.8
Winter 2015,23090,2015-06-06,6.0
Winter 2015,86338,2015-06-06,10.0
Winter 2015,14015,2015-06-06,22.2
Winter 2015,70351,2015-06-06,
Winter 2015,40913,2015-06-06,9.7
Winter 2015,94029,2015-06-06,7.9
Winter 2015,9225,2015-06-06,12.2
Winter 2015,66062,2015-06-07,9.3
Winter 2015,23090,2015-06-07,11.3
Winter 2015,86338,2015-06-07,11.2
Winter 2015,14015,2015-06-07,22.6
Winter 2015,70351,2015-06-07,
Winter 2015,40913,2015-06-07,12.3
Winter 2015,94029,2015-06-07,11.0
Winter 2015,9225,2015-06-07,9.0
Winter 2015,66062,2015-06-08,13.6
Winter 2015,23090,2015-06-08,10.7
Winter 2015,86338,2015-06-08,11.1
Winter 2015,14015,2015-06-08,22.5
Winter 2015,70351,2015-06-08,0.1
Winter 2015,40913,2015-06-08,11.8
Winter 2015,94029,2015-06-08,10.5
Winter 2015,9225,2015-06-08,7.0
Winter 2015,66062,2015-06-09,13.6
Winter 2015,23090,2015-06-09,11.0
Winter 2015,86338,2015-06-09,10.3
Winter 2015,14015,2015-06-09,21.0
Winter 2015,70351,2015-06-09,7.8
Winter 2015,40913,2015-06-09,11.7
Winter 2015,94029,2015-06-09,6.0
Winter 2015,9225,2015-06-09,9.7
Winter 2015,66062,2015-06-10,11.7
Winter 2015,23090,2015-06-10,8.7
Winter 2015,86338,2015-06-10,7.5
Winter 2015,14015,2015-06-10,20.6
Winter 2015,70351,2015-06-10,-3.3
Winter 2015,40913,2015-06-10,12.7
Winter 2015,94029,2015-06-10,
Winter 2015,9225,2015-06-10,12.9
Winter 2015,66062,2015-06-11,11.9
Winter 2015,23090,2015-06-11,4.4
Winter 2015,86338,2015-06-11,5.7
Winter 2015,14015,2015-06-11,22.2
Winter 2015,70351,2015-06-11,-3.1
Winter 2015,40913,2015-06-11,15.1
Winter 2015,94029,2015-06-11,
Winter 2015,9225,2015-06-11,11.0
Winter 2015,66062,2015-06-12,12.6
Winter 2015,23090,2015-06-12,4.2
Winter 2015,86338,2015-06-12,5.2
Winter 2015,14015,2015-06-12,22.2
Winter 2015,70351,2015-06-12,
Winter 2015,40913,2015-06-12,13.4
Winter 2015,94029,2015-06-12,
Winter 2015,9225,2015-06-12,13.3
Winter 2015,66062,2015-06-13,13.1
Winter 2015,23090,2015-06-13,10.3
Winter 2015,86338,2015-06-13,6.0
Winter 2015,14015,2015-06-13,21.2
Winter 2015,70351,2015-06-13,
Winter 2015,40913,2015-06-13,14.2
Winter 2015,94029,2015-06-13,
Winter 2015,9225,2015-06-13,8.3
Winter 2015,66062,2015-06-14,9.5
Winter 2015,23090,2015-06-14,12.9
Winter 2015,86338,2015-06-14,5.8
Winter 2015,14015,2015-06-14,23.7
Winter 2015,70351,2015-06-14,
Winter 2015,40913,2015-06-14,15.6
Winter 2015,94029,2015-06-14,
Winter 2015,9225,2015-06-14,5.3
Winter 2015,66062,2015-06-15,10.9
Winter 2015,23090,2015-06-15,13.2
Winter 2015,86338,2015-06-15,7.3
Winter 2015,14015,2015-06-15,23.4
Winter 2015,70351,2015-06-15,-0.2
Winter 2015,40913,2015-06-15,16.0
Winter 2015,94029,2015-06-15,4.8
Winter 2015,9225,2015-06-15,5.1
Winter 2015,66062,2015-06-16,14.1
Winter 2015,23090,2015-06-16,11.1
Winter 2015,86338,2015-06-16,11.4
Winter 2015,14015,2015-06-16,22.0
Winter 2015,70351,2015-06-16,9.8
Winter 2015,40913,2015-06-16,16.0
Winter 2015,94029,2015-06-16,7.1
Winter 2015,9225,2015-06-16,9.5
Winter 2015,66062,2015-06-17,14.7
Winter 2015,23090,2015-06-17,9.7
Winter 2015,86338,2015-06-17,11.9
Winter 2015,14015,2015-06-17,21.7
Winter 2015,70351,2015-06-17,10.3
Winter 2015,40913,2015-06-17,16.3
Winter 2015,94029,2015-06-17,8.5
Winter 2015,9225,2015-06-17,14.7
Winter 2015,66062,2015-06-18,11.4
Winter 2015,23090,2015-06-18,11.2
Winter 2015,86338,2015-06-18,10.7
Winter 2015,14015,2015-06-18,22.2
Winter 2015,70351,2015-06-18,4.2
Winter 2015,40913,2015-06-18,12.0
Winter 2015,94029,2015-06-18,5.5
Winter 2015,9225,2015-06-18,13.2
Winter 2015,66062,2015-06-19,9.6
Winter 2015,23090,2015-06-19,5.3
Winter 2015,86338,2015-06-19,7.0
Winter 2015,14015,2015-06-19,22.2
Winter 2015,70351,2015-06-19,2.2
Winter 2015,40913,2015-06-19,10.4
Winter 2015,94029,2015-06-19,1.2
Winter 2015,9225,2015-06-19,15.5
Winter 2015,66062,2015-06-20,8.3
Winter 2015,23090,2015-06-20,5.3
Winter 2015,86338,2015-06-20,4.1
Winter 2015,14015,2015-06-20,19.7
Winter 2015,70351,2015-06-20,-2.6
Winter 2015,40913,2015-06-20,9.2
Winter 2015,94029,2015-06-20,0.5
Winter 2015,9225,2015-06-20,15.8
Winter 2015,66062,2015-06-21,8.5
Winter 2015,23090,2015-06-21,3.8
Winter 2015,86338,2015-06-21,2.2
Winter 2015,14015,2015-06-21,18.1
Winter 2015,70351,2015-06-21,
Winter 2015,40913,2015-06-21,10.0
Winter 2015,94029,2015-06-21,2.0
Winter 2015,9225,2015-06-21,14.2
Winter 2015,66062,2015-06-22,8.0
Winter 2015,23090,2015-06-22,10.1
Winter 2015,86338,2015-06-22,4.7
Winter 2015,14015,2015-06-22,17.1
Winter 2015,70351,2015-06-22,
Winter 2015,40913,2015-06-22,12.6
Winter 2015,94029,2015-06-22,0.3
Winter 2015,9225,2015-06-22,10.0
Winter 2015,66062,2015-06-23,8.0
Winter 2015,23090,2015-06-23,11.2
Winter 2015,86338,2015-06-23,12.5
Winter 2015,14015,2015-06-23,17.4
Winter 2015,70351,2015-06-23,
Winter 2015,40913,2015-06-23,12.2
Winter 2015,94029,2015-06-23,7.4
Winter 2015,9225,2015-06-23,2.3
Winter 2015,66062,2015-06-24,11.4
Winter 2015,23090,2015-06-24,9.1
Winter 2015,86338,2015-06-24,12.2
Winter 2015,14015,2015-06-24,19.9
Winter 2015,70351,2015-06-24,3.5
Winter 2015,40913,2015-06-24,12.5
Winter 2015,94029,2015-06-24,8.1
Winter 2015,9225,2015-06-24,4.2
Winter 2015,66062,2015-06-25,12.7
Winter 2015,23090,2015-06-25,8.5
Winter 2015,86338,2015-06-25,9.6
Winter 2015,14015,2015-06-25,20.1
Winter 2015,70351,2015-06-25,1.1
Winter 2015,40913,2015-06-25,11.2
Winter 2015,94029,2015-06-25,6.6
Winter 2015,9225,2015-06-25,4.5
Winter 2015,66062,2015-06-26,10.1
Winter 2015,23090,2015-06-26,11.1
Winter 2015,86338,2015-06-26,11.0
Winter 2015,14015,2015-06-26,19.3
Winter 2015,70351,2015-06-26,-0.9
Winter 2015,40913,2015-06-26,12.6
Winter 2015,94029,2015-06-26,10.6
Winter 2015,9225,2015-06-26,6.8
Winter 2015,66062,2015-06-27,8.3
Winter 2015,23090,2015-06-27,3.8
Winter 2015,86338,2015-06-27,8.0
Winter 2015,14015,2015-06-27,19.3
Winter 2015,70351,2015-06-27,
Winter 2015,40913,2015-06-27,14.9
Winter 2015,94029,2015-06-27,8.3
Winter 2015,9225,2015-06-27,7.6
Winter 2015,66062,2015-06-28,7.4
Winter 2015,23090,2015-06-28,5.4
Winter 2015,86338,2015-06-28,9.6
Winter 2015,14015,2015-06-28,18.1
Winter 2015,70351,2015-06-28,0.2
Winter 2015,40913,2015-06-28,14.6
Winter 2015,94029,2015-06-28,10.2
Winter 2015,9225,2015-06-28,8.5
Winter 2015,66062,2015-06-29,9.4
Winter 2015,23090,2015-06-29,3.0
Winter 2015,86338,2015-06-29,6.9
Winter 2015,14015,2015-06-29,17.5
Winter 2015,70351,2015-06-29,-0.9
Winter 2015,40913,2015-06-29,15.4
Winter 2015,94029,2015-06-29,11.5
Winter 2015,9225,2015-06-29,6.8
Winter 2015,66062,2015-06-30,9.0
Winter 2015,23090,2015-06-30,9.0
Winter 2015,86338,2015-06-30,5.0
Winter 2015,14015,2015-06-30,18.3
Winter 2015,70351,2015-06-30,-2.0
Winter 2015,40913,2015-06-30,14.2
Winter 2015,94029,2015-06-30,5.5
Winter 2015,9225,2015-06-30,6.4
Winter 2015,66062,2015-07-01,11.2
Winter 2015,23090,2015-07-01,4.7
Winter 2015,86338,2015-07-01,10.0
Winter 2015,14015,2015-07-01,19.3
Winter 2015,70351,2015-07-01,
Winter 2015,40913,2015-07-01,12.4
Winter 2015,94029,2015-07-01,6.0
Winter 2015,9225,2015-07-01,10.6
Winter 2015,66062,2015-07-02,7.0
Winter 2015,23090,2015-07-02,9.5
Winter 2015,86338,2015-07-02,7.8
Winter 2015,14015,2015-07-02,22.6
Winter 2015,70351,2015-07-02,-0.8
Winter 2015,40913,2015-07-02,12.2
Winter 2015,94029,2015-07-02,5.1
Winter 2015,9225,2015-07-02,13.0
